city,district,site,title,price,url
Hatay,iskenderun,emlakjet,Modern Evlerde Manzaralı Kaçırılmayacak Satılık Dubleks Daire,6500000.0,https://www.emlakjet.com/ilan/modern-evlerde-manzarali-kacirilmayacak-satilik-dubleks-daire-18523045
Hatay,iskenderun,emlakjet,Irmak Gayrimenkul'den Numune Mahallesinde Bakımlı Lüks Daire,3500000.0,https://www.emlakjet.com/ilan/irmak-gayrimenkul-den-numune-mahallesinde-bakimli-luks-daire-18520733
Hatay,iskenderun,emlakjet,Satılık Müstakil Sahile Yakın 2+1 Geniş Daire,5500000.0,https://www.emlakjet.com/ilan/satilik-mustakil-sahile-yakin-21-genis-daire-18516437
Hatay,iskenderun,emlakjet,Irmak Gayrimenkul'den Satılık Müstakil Ev.,2200000.0,https://www.emlakjet.com/ilan/irmak-gayrimenkul-den-satilik-mustakil-ev-18517110
Hatay,iskenderun,emlakjet,Irmak Gayrimenkul'den İsmet İnönü Mahallesi'nde Satılık Daire.,2750000.0,https://www.emlakjet.com/ilan/irmak-gayrimenkul-den-ismet-inonu-mahallesi-nde-satilik-daire-18504213
Hatay,iskenderun,emlakjet,Irmak Gayrimenkul'den Modernevler De Satılık Müstakil Ev.,1650000.0,https://www.emlakjet.com/ilan/irmak-gayrimenkul-den-modernevler-de-satilik-mustakil-ev-18504211
Hatay,iskenderun,emlakjet,Irmak Gayrimenkulden Yenişehir Mahallesinde Satlık Bakımlı Daire,3900000.0,https://www.emlakjet.com/ilan/irmak-gayrimenkulden-yenisehir-mahallesinde-satlik-bakimli-daire-18503473
Hatay,iskenderun,emlakjet,Irmak Gayrimenkul'den Mustafa Kemal Mahallesinde Satılık Daire..,2850000.0,https://www.emlakjet.com/ilan/irmak-gayrimenkul-den-mustafa-kemal-mahallesinde-satilik-daire-18482951
Hatay,iskenderun,emlakjet,Akg'den Mustafa Kemal Aslan Sitesinde Ara Kat 3+1 Satılık Ev,2650000.0,https://www.emlakjet.com/ilan/akg-den-mustafa-kemal-aslan-sitesinde-ara-kat-31-satilik-ev-18481227
Hatay,iskenderun,emlakjet,Pirireis Mahallesinde Köşebaşı Amerikan Mutfak Ana Cadde Üzeri Yeni Yapılı Satılık Temiz Daire,3000000.0,https://www.emlakjet.com/ilan/pirireis-mahallesinde-kosebasi-amerikan-mutfak-ana-cadde-uzeri-yeni-yapili-satilik-temiz-daire-18481152
Hatay,iskenderun,tapu,Satıldı Hatay / İskenderun - Daire Hatay İskenderun Denizciler Mahallesinde 103 m2 3+1 Daire 140.000,140000.0,https://www.tapu.com/detay/hatay-iskenderun-denizciler-mahallesinde-103-m2-3-arti-1-daire-12524
Hatay,iskenderun,tapu,Satıldı Hatay / İskenderun - Daire Hatay İskenderun Piri Reis Mahallesi'nde 2+1 90 m2 İskanlı Daire 160.000,160000.0,https://www.tapu.com/detay/hatay-iskenderun-piri-reis-mahallesinde-2-arti-1-90-m2-iskanli-daire-17434
Hatay,iskenderun,tapu,Satıldı Hatay / İskenderun - Daire Hatay İskenderun Modernevler Mahallesinde 3+1 142 m2 Daire 200.000,200000.0,https://www.tapu.com/detay/hatay-iskenderun-modernevler-mahallesinde-3-arti-1-142-m2-daire-14751
Hatay,iskenderun,tapu,Satıldı Hatay / İskenderun - Daire Hatay İskenderun Karayılan Mahallesi'nde 3+1 İskanlı Daire 125.000,125000.0,https://www.tapu.com/detay/hatay-iskenderun-karayilan-mahallesinde-3-arti-1-iskanli-daire-15136
