city,district,site,title,price,url
istanbul,maltepe,emlakjet,█ Konfor █ Altıntepe Altınvadi Konaklarında Teraslı 3+1 Dubleks,8900000.0,https://www.emlakjet.com/ilan/konfor-altintepe-altinvadi-konaklarinda-terasli-31-dubleks-18542506
istanbul,maltepe,emlakjet,█ Konfor █ Küçükyalı'da Site İçerisinde Balkonlu Modern 2+1,5950000.0,https://www.emlakjet.com/ilan/konfor-kucukyali-da-site-icerisinde-balkonlu-modern-21-18541849
istanbul,maltepe,emlakjet,"Yatırım'dan İdealtepe'de Koruya Komşu, 2.kat Ön Cephe Geniş 3+1",9450000.0,https://www.emlakjet.com/ilan/yatirim-dan-idealtepe-de-koruya-komsu-2-kat-on-cephe-genis-31-18541665
istanbul,maltepe,emlakjet,Yatırım'dan Küçükyalı'da Özel Dekore Edilmiş Lüks Yapı Ön 2+1,5950000.0,https://www.emlakjet.com/ilan/yatirim-dan-kucukyali-da-ozel-dekore-edilmis-luks-yapi-on-21-18541646
istanbul,maltepe,emlakjet,▃birikim▃ İdealtepe Sahilde Ön Cephe Balkonlu Ayrı Mutfaklı 1+1!,6600000.0,https://www.emlakjet.com/ilan/birikim-idealtepe-sahilde-on-cephe-balkonlu-ayri-mutfakli-11-18541642
istanbul,maltepe,emlakjet,Altıntepede Sahile Yakın İçi Yapılı Ön Cephe Lüks 2+1 !,6000000.0,https://www.emlakjet.com/ilan/altintepede-sahile-yakin-ici-yapili-on-cephe-luks-21-18541364
istanbul,maltepe,emlakjet,Dünya Şehir Maltepe,7900000.0,https://www.emlakjet.com/projeler/proje/dunya-sehir-maltepe
istanbul,maltepe,emlakjet,▃artemin▃altıntepe'de İçi Mimari Dekorlu 90m² Lüks 2+1 !,6000000.0,https://www.emlakjet.com/ilan/artemin-altintepe-de-ici-mimari-dekorlu-90m-luks-21-18541343
istanbul,maltepe,emlakjet,Bizim Gayrimenkulden İdealtepede Deniz Manzaralı 5+2 Dubleks,11850000.0,https://www.emlakjet.com/ilan/bizim-gayrimenkulden-idealtepede-deniz-manzarali-52-dubleks-18540973
istanbul,maltepe,emlakjet,Bizim Gayrimenkulden Yalıda Öncephe 4.kat Lüks 3+1 Daire,13950000.0,https://www.emlakjet.com/ilan/bizim-gayrimenkulden-yalida-oncephe-4-kat-luks-31-daire-18540957
