city,district,site,title,price,url
mersin,mezitli,emlakjet,Mersin Tecede 3+1 Dairemiz Satılıktır.,4500000.0,https://www.emlakjet.com/ilan/mersin-tecede-31-dairemiz-satiliktir-18537879
mersin,mezitli,emlakjet,Retro’dan Akdeniz Mah’de Site İçi Sosyal Alanlı Fırsat 2+1,3900000.0,https://www.emlakjet.com/ilan/retro-dan-akdeniz-mah-de-site-ici-sosyal-alanli-firsat-21-18542034
mersin,mezitli,emlakjet,W Property'den Artemis Sitesinde Peyzaja Hakim 4+1 Satılık,8250000.0,https://www.emlakjet.com/ilan/w-property-den-artemis-sitesinde-peyzaja-hakim-41-satilik-18541438
mersin,mezitli,emlakjet,Retro’dan Akdeniz Mah’de Site İçi Sosyal Alanlı Fırsat 2+1,3600000.0,https://www.emlakjet.com/ilan/retro-dan-akdeniz-mah-de-site-ici-sosyal-alanli-firsat-21-18541334
mersin,mezitli,emlakjet,Hedef'ten Tece'de Gmk'ya Sıfır Geniş Satılık 2+1 Daire,3850000.0,https://www.emlakjet.com/ilan/hedef-ten-tece-de-gmk-ya-sifir-genis-satilik-21-daire-18540934
mersin,mezitli,emlakjet,Nw Mezitli Merkez Mah Site İçi Full Yapılı Satılık 3+1 Daire,4650000.0,https://www.emlakjet.com/ilan/nw-mezitli-merkez-mah-site-ici-full-yapili-satilik-31-daire-18539822
mersin,mezitli,emlakjet,MB Azure Resort,35000004500000.0,https://www.emlakjet.com/projeler/proje/mb-azure-resort
mersin,mezitli,emlakjet,Yaşa Gyd - Mezitli Çankayada Site İçi Lüks 6+1 Villa,28750000.0,https://www.emlakjet.com/ilan/yasa-gyd-mezitli-cankayada-site-ici-luks-61-villa-18537972
mersin,mezitli,emlakjet,Ethereal'den Soli Civarı Site İçi Deniz Gören Kısmi Eşyalı 2+1,3740000.0,https://www.emlakjet.com/ilan/ethereal-den-soli-civari-site-ici-deniz-goren-kismi-esyali-21-18537722
mersin,mezitli,emlakjet,View'den Tecede Merkezi Konumda Satılık 1+1 Daire,1875000.0,https://www.emlakjet.com/ilan/view-den-tecede-merkezi-konumda-satilik-11-daire-18537278
mersin,mezitli,tapu,Mersin / Mezitli - Daire Mersin Mezitli Viranşehir'de 3+1 Daire 3.050.000,3050000.0,https://www.tapu.com/detay/mersin-mezitli-viransehirde-3-arti-1-daire-24160
